AN,DAY,TRIAL,SUCC,t-IN,t-NSP,t-END,Strat,CH
IN100,1,1,0,nan,nan,nan,1,16
IN100,1,2,0,1,143,145,2,16
IN100,1,3,0,1,88,90,2,16
IN100,1,4,0,nan,nan,nan,2,16
IN100,2,1,0,nan,nan,nan,2,16
IN100,2,2,1,1,3,81,3,16
IN100,2,3,0,1,74,82,2,16
IN100,2,4,0,1,21,98,2,16
IN100,3,1,0,1,18,89,2,16
IN100,3,2,1,1,24,72,3,16
IN100,3,3,1,nan,nan,nan,3,16
IN100,3,4,0,73,81,209,2,16
IN100,4,1,0,77,95,117,2,16
IN100,4,2,0,65,102,175,2,16
IN100,4,3,0,nan,nan,nan,2,16
IN100,4,4,0,55,67,78,2,16
IN106,1,1,0,82,246,261,1,12
IN106,1,2,0,75,90,278,1,12
IN106,1,3,0,71,246,264,1,12
IN106,1,4,0,60,235,262,2,12
IN106,2,1,0,65,194,212,2,12
IN106,2,2,1,65,86,96,3,12
IN106,2,3,0,64,92,114,2,12
IN106,2,4,1,69,75,102,3,12
IN106,3,1,0,73,108,121,2,12
IN106,3,2,1,81,89,123,3,12
IN106,3,3,1,61,66,144,3,12
IN106,3,4,0,63,82,200,2,12
IN106,4,1,0,72,87,214,2,12
IN106,4,2,1,68,80,118,3,12
IN106,4,3,1,103,107,116,3,12
IN106,4,4,1,64,68,78,3,12
IN107,1,1,0,63,111,262,1,16
IN107,1,2,0,59,75,251,2,16
IN107,1,3,0,59,94,265,2,16
IN107,1,4,0,50,165,241,2,16
IN107,2,1,0,54,85,246,2,16
IN107,2,2,0,63,99,261,2,16
IN107,2,3,0,63,179,259,2,16
IN107,2,4,0,63,243,259,1,16
IN107,3,1,1,59,64,80,3,16
IN107,3,2,0,60,74,152,2,16
IN107,3,3,0,61,115,144,2,16
IN107,3,4,0,63,127,264,2,16
IN107,4,1,1,64,65,80,3,16
IN107,4,2,0,56,88,108,2,16
IN107,4,3,0,57,104,117,2,16
IN107,4,4,0,62,102,116,2,16
IN114,1,1,0,35,56,229,2,14
IN114,1,2,1,40,18,67,2,14
IN114,1,3,0,24,22,225,2,14
IN114,1,4,1,30,52,176,2,14
IN114,2,1,0,32,19,227,2,14
IN114,2,2,1,33,nan,222,1,14
IN114,2,3,0,12,5,193,2,14
IN114,2,4,1,32,6,212,2,14
IN114,3,1,1,18,2,142,3,14
IN114,3,2,0,31,6,210,2,14
IN114,3,3,0,27,136,227,2,14
IN114,3,4,1,33,10,203,2,14
IN114,4,1,1,29,33,88,2,14
IN114,4,2,0,31,61,220,2,14
IN114,4,3,0,26,76,202,2,14
IN114,4,4,0,15,34,214,2,14
IN99,1,1,0,1,46,96,1,7
IN99,1,2,1,58,62,103,3,7
IN99,1,3,0,74,147,170,2,7
IN99,1,4,1,nan,nan,nan,3,7
IN99,2,1,0,81,113,169,2,7
IN99,2,2,1,1,3,40,3,7
IN99,2,3,1,1,15,82,3,7
IN99,2,4,1,1,7,30,3,7
IN99,3,1,1,nan,nan,nan,3,7
IN99,3,2,1,1,12,34,3,7
IN99,3,3,1,1,4,78,3,7
IN99,3,4,0,76,163,265,2,7
IN99,4,1,0,1,31,146,2,7
IN99,4,2,0,1,19,77,2,7
IN99,4,3,0,1,29,106,2,7
LC26,1,1,0,57,74,236,nan,7
LC26,1,2,1,47,168,217,nan,7
LC26,1,3,1,48,54,71,nan,7
LC26,1,4,1,49,73,165,nan,7
LC26,2,1,0,48,68,236,nan,7
LC26,2,2,1,47,68,211,nan,7
LC26,2,3,1,26,58,60,nan,7
LC26,2,4,1,45,73,93,nan,7
LC26,3,1,1,20,55,66,nan,7
LC26,3,2,1,40,42,51,nan,7
LC26,3,3,1,46,58,84,nan,7
LC26,3,4,1,56,58,100,nan,7
LC26,4,1,1,50,80,88,nan,7
LC26,4,2,1,37,54,58,nan,7
LC26,4,3,1,36,39,45,nan,7
LC26,4,4,1,9,18,25,nan,7
LC39,1,1,0,17,72,219,nan,2
LC39,1,2,0,57,90,205,nan,2
LC39,1,3,0,57,76,214,nan,2
LC39,1,4,0,42,97,222,nan,2
LC39,2,1,0,17,25,206,nan,2
LC39,2,2,0,20,28,190,nan,2
LC39,2,3,1,25,147,164,nan,2
LC39,2,4,1,15,19,150,nan,2
LC39,3,1,0,7,12,197,nan,2
LC39,3,2,1,16,19,176,nan,2
LC39,3,3,1,18,114,117,nan,2
LC39,3,4,0,5,9,187,nan,2
LC39,4,1,1,7,37,133,nan,2
LC39,4,2,1,5,27,39,nan,2
LC39,4,3,1,7,61,97,nan,2
LC39,4,4,0,8,nan,97,nan,2
LC49,1,1,0,1,46,18,1,13
LC49,1,2,0,63,70,171,1,13
LC49,1,3,0,60,90,115,2,13
LC49,1,4,0,75,91,114,2,13
LC49,2,1,1,93,103,142,3,13
LC49,2,2,1,71,90,201,3,13
LC49,2,3,1,78,87,105,3,13
LC49,2,4,1,nan,nan,nan,3,13
LC49,3,1,1,nan,nan,nan,3,13
LC49,3,2,1,61,66,95,3,13
LC49,3,3,1,75,78,97,3,13
LC49,3,4,1,92,94,121,3,13
LC49,4,1,1,72,74,97,3,13
LC49,4,2,1,59,60,236,3,13
LC49,4,3,1,66,67,107,3,13
LC49,4,4,1,67,76,94,3,13
LC59,1,1,0,23,53,221,1,9
LC59,1,2,1,25,26,47,2,9
LC59,1,3,0,22,41,199,2,9
LC59,1,4,0,46,13,215,2,9
LC59,2,1,0,21,3,221,3,9
LC59,2,2,0,29,27,230,2,9
LC59,2,3,1,33,34,97,3,9
LC59,2,4,1,42,32,80,2,9
LC59,3,1,1,13,11,112,2,9
LC59,3,2,0,29,44,208,2,9
LC59,3,3,0,27,17,208,2,9
LC59,3,4,0,35,24,219,2,9
LC59,4,1,0,27,41,218,2,9
LC59,4,2,0,16,11,201,2,9
LC59,4,3,0,27,90,224,2,9
LC59,4,4,0,22,8,203,1,9
LC60,1,1,0,23,77,2,1,10
LC60,1,2,1,26,15,48,2,10
LC60,1,3,0,22,15,199,2,10
LC60,1,4,0,47,40,215,2,10
LC60,2,1,1,19,20,86,2,10
LC60,2,2,0,39,36,223,1,10
LC60,2,3,0,25,132,205,2,10
LC60,2,4,0,46,61,222,2,10
LC60,3,1,0,39,5,225,2,10
LC60,3,2,1,41,5,50,2,10
LC60,3,3,0,48,59,222,2,10
LC60,3,4,1,17,20,122,2,10
LC60,4,1,0,43,25,226,2,10
LC60,4,2,1,23,16,51,2,10
LC60,4,3,1,36,5,48,3,10
LC60,4,4,1,40,2,46,3,10
TD19,1,1,0,55,78,274,1,8 (11)
TD19,1,2,0,85,146,232,2,8 (11)
TD19,1,3,0,71,94,268,2,8 (11)
TD19,1,4,0,73,96,130,2,8 (11)
TD19,2,1,0,66,109,287,2,8 (11)
TD19,2,2,0,61,91,145,2,8 (11)
TD19,2,3,0,69,98,228,2,8 (11)
TD19,2,4,0,64,92,113,2,8 (11)
TD19,3,1,0,54,69,258,2,8 (11)
TD19,3,2,1,78,91,144,3,8 (11)
TD19,3,3,0,60,72,186,2,8 (11)
TD19,3,4,0,66,79,110,2,8 (11)
TD19,4,1,0,110,134,154,2,8 (11)
TD19,4,2,0,107,131,210,2,8 (11)
TD19,4,3,0,75,77,107,2,8 (11)
TD19,4,4,1,80,83,97,3,8 (11)
